,Unnamed: 0,Ticker,Category,Api key,Entry reasons,Exit reasons,Description,Conclusion,Entry time,Leverage,MFE,MAE,Avg. entry price,Exit time,Avg. exit price,Duration,Side,Percent,Net profit (%),Funding,PNL,Cumulative PNL,QTY,Peak qty,Volume,Commission,Month
23,23,BCHUSDT,,Api-hs1,,,,,2024-07-11 07:00:07,0.05006235,0.6233,-0.8591,269.83192802,2024-07-11 09:15:08,268.89,0 days 02:15:01,SHORT,0.35,0.01,0.0105181,30.39999999999999,229.40000000000003,38900.0,38900.0,20956.283,0.07340195,2024-07
24,24,BATUSDT,,Api-hs1,,,,,2024-07-11 08:19:03,0.01000791,0.0,0.0,0.2371,2024-07-11 08:19:31,0.2365,0 days 00:00:28,SHORT,0.25,0.0,0.0,3.79999999999999,233.2,8850.0,8850.0,4191.360000000001,0.01467772,2024-07
25,25,INJUSDT,,Api-hs1,,,,,2024-07-11 10:52:04,0.01025263,0.0,0.0,35.834,2024-07-11 10:52:13,35.924,0 days 00:00:09,LONG,0.25,0.0,0.0,3.900000000000005,237.1,60.0,60.0,4305.48,0.01506107,2024-07
26,26,BCHUSDT,,Api-hs1,,,,,2024-07-11 12:35:06,0.0100231,0.6642,-0.2523,269.48,2024-07-11 12:37:13,268.81,0 days 00:02:07,SHORT,0.25,0.0,0.0,3.79999999999999,240.9,7800.0,7800.0,4198.662,0.01470315,2024-07
27,27,ATOMUSDT,,Api-hs1,,,,,2024-07-11 16:34:01,0.0099948,0.3945,-0.8193,9.887,2024-07-11 16:50:04,9.912,0 days 00:16:03,LONG,0.25,0.0,0.0,3.79999999999999,244.7,212.0,212.0,4197.388,0.0146829,2024-07
28,28,ICPUSDT,,Api-hs1,,,,,2024-07-11 20:55:05,0.01234143,0.2705,-0.3245,12.941,2024-07-11 21:00:29,12.973,0 days 00:05:24,LONG,0.25,0.0,0.0,4.600000000000008,249.3,200.0,200.0,5182.8,0.0181302,2024-07
29,29,FILUSDT,,Api-hs1,,,,,2024-07-11 20:57:04,0.01005739,0.3983,0.0569,5.273,2024-07-11 21:00:11,5.286,0 days 00:03:07,LONG,0.25,0.0,0.0,3.70000000000001,253.0,400.0,400.0,4223.599999999999,0.01477479,2024-07
30,30,ATOMUSDT,,Api-hs1,,,,,2024-07-11 21:30:06,0.02998644,0.3086,-0.8642,9.72,2024-07-12 00:22:14,9.749,0 days 02:52:08,LONG,0.3,0.01,-0.00630049,13.70000000000001,266.7,647.0,647.0,12596.443,0.0440594,2024-07
31,31,ALGOUSDT,,Api-hs1,,,,,2024-07-11 23:55:04,0.01999837,0.2243,-2.1873,0.18008222,2024-07-12 00:07:07,0.1796,0 days 00:12:03,SHORT,0.27,0.0,0.00211915,9.1,275.8,23290.0,23290.0,8376.999,0.02304441,2024-07
32,32,TIAUSDT,,Api-hs1,,,,,2024-07-12 00:04:03,0.0091129,0.2826,-0.3453,19.1116,2024-07-12 00:07:23,19.1594,0 days 00:03:20,LONG,0.25,0.0,0.0,3.399999999999998,279.2,100.0,100.0,3827.1,0.01338768,2024-07
